CTname,TotDwell
0185.10 (933018510)  00001,1235
0185.11 (933018511)  00001,1960
0185.12 (933018512)  00001,1590
0185.13 (933018513)  01011,1650
0185.14 (933018514)  00001,1895
0185.15 (933018515)  00001,1465
0185.16 (933018516)  01011,1125
0186.01 (933018601)  00000,1900
0186.02 (933018602)  00000,1700
0186.05 (933018605)  00011,1805
0186.06 (933018606)  00001,905
0186.07 (933018607)  00001,1220
0186.08 (933018608)  00001,1665
0187.03 (933018703)  00000,1955
0187.04 (933018704)  00001,400
0187.05 (933018705)  00001,1540
0187.06 (933018706)  00001,1475
0187.07 (933018707)  00001,430
0187.08 (933018708)  00001,3275
0187.09 (933018709)  00001,2260
0188.01 (933018801)  00001,920
0188.02 (933018802)  00001,285
0188.03 (933018803)  00001,1750
0188.04 (933018804)  00001,805
0188.05 (933018805)  00001,625
0188.06 (933018806)  00001,295
0189.03 (933018903)  00000,1090
0189.05 (933018905)  00001,3170
0189.06 (933018906)  00001,930
0189.07 (933018907)  00001,910
0189.08 (933018908)  00001,2565
0189.09 (933018909)  00001,1210
0189.10 (933018910)  01001,1625
0190.01 (933019001)  00000,2535
0190.03 (933019003)  00000,1675
0190.04 (933019004)  00001,1930
0190.05 (933019005)  00001,565
0191.02 (933019102)  00010,3040
0191.03 (933019103)  00001,1360
0191.04 (933019104)  01001,2130
0192.00 (933019200)  00000,1465
0200.00 (933020000)  00000,1450
0201.00 (933020100)  00000,605
0202.00 (933020200)  00000,3210
0203.00 (933020300)  00000,1570
0204.01 (933020401)  00001,2385
0204.02 (933020402)  01001,2640
0205.00 (933020500)  00000,4970
0206.00 (933020600)  01020,1015
0207.00 (933020700)  00000,1310
0208.00 (933020800)  00000,2260
0209.00 (933020900)  00000,2615
0210.00 (933021000)  00000,2000
0220.00 (933022000)  00000,330
0221.01 (933022101)  00000,570
0221.03 (933022103)  00001,1020
0221.04 (933022104)  00001,1485
0222.00 (933022200)  00000,3290
0223.01 (933022301)  00001,1685
0223.02 (933022302)  00011,1525
0224.01 (933022401)  00001,2045
0224.02 (933022402)  00001,1560
0225.00 (933022500)  00000,3390
0226.01 (933022601)  00000,3990
0226.02 (933022602)  00000,1300
0227.01 (933022701)  00001,1880
0227.02 (933022702)  00001,2765
0228.02 (933022802)  00000,1180
0228.03 (933022803)  00001,2075
0228.04 (933022804)  00001,2210
0229.00 (933022900)  00000,2495
0230.01 (933023001)  00000,1845
0230.02 (933023002)  00000,1530
0231.00 (933023100)  00000,1255
0232.00 (933023200)  00000,1025
0233.00 (933023300)  00000,2075
0234.00 (933023400)  00000,2015
0235.02 (933023502)  00000,1545
0235.03 (933023503)  00001,1760
0235.04 (933023504)  00001,2785
0236.00 (933023600)  00000,1095
0237.00 (933023700)  00000,2865
0238.01 (933023801)  00000,945
0238.02 (933023802)  00000,2245
0239.00 (933023900)  00000,3020
0240.01 (933024001)  00001,1620
0240.02 (933024002)  00001,1855
0241.00 (933024100)  00000,2825
0242.00 (933024200)  00000,2735
0243.01 (933024301)  00000,2080
0243.02 (933024302)  01000,2070
0250.01 (933025001)  00001,1145
0250.02 (933025002)  00001,1235
0251.00 (933025100)  00000,50
0260.02 (933026002)  00001,1825
0260.04 (933026004)  00001,1220
0260.05 (933026005)  00001,1445
0260.06 (933026006)  00001,1360
0260.07 (933026007)  00001,1440
0260.08 (933026008)  00001,1245
0280.00 (933028000)  00000,1045
0281.01 (933028101)  00000,2065
0281.02 (933028102)  00000,2315
0282.00 (933028200)  00000,3030
0283.00 (933028300)  00000,2490
0284.01 (933028401)  00000,2690
0284.02 (933028402)  00000,2335
0285.01 (933028501)  00000,1705
0285.02 (933028502)  00000,1760
0286.01 (933028601)  00000,1930
0286.02 (933028602)  00000,2235
0286.03 (933028603)  00000,1410
0287.01 (933028701)  00000,2305
0287.02 (933028702)  00000,1215
0287.04 (933028704)  00000,2525
0287.05 (933028705)  00001,4095
0287.06 (933028706)  00001,1610
0287.07 (933028707)  00001,3475
0290.02 (933029002)  00000,2775
0290.03 (933029003)  00000,2055
0290.04 (933029004)  00001,2190
0290.05 (933029005)  00001,1100
0291.01 (933029101)  00000,2495
0291.02 (933029102)  00000,2640
0292.01 (933029201)  00000,1750
0292.02 (933029202)  00000,2750
0400.01 (933040001)  00001,2950
0400.02 (933040002)  00001,1240
0401.01 (933040101)  00001,1115
0401.02 (933040102)  00001,3215
0402.01 (933040201)  00000,2995
0402.02 (933040202)  00000,1715
0403.01 (933040301)  00000,1875
0403.03 (933040303)  00000,1920
0403.04 (933040304)  00001,1590
0403.05 (933040305)  00001,1370
0404.00 (933040400)  00000,2665
0410.02 (933041002)  00000,2300
0410.03 (933041003)  00001,2715
0410.04 (933041004)  01001,290
0500.00 (933050000)  00000,2385
0501.01 (933050101)  00011,1015
0501.02 (933050102)  00000,1820
0501.03 (933050103)  00000,1015
0502.01 (933050201)  00001,835
0502.02 (933050202)  00000,1565
0502.03 (933050203)  00000,1625
0502.04 (933050204)  00001,2870
0502.05 (933050205)  00010,890
0503.01 (933050301)  00001,835
0503.03 (933050303)  00001,2350
0503.04 (933050304)  00001,2440
0503.05 (933050305)  00001,4460
0504.01 (933050401)  00001,2630
0504.02 (933050402)  00000,2750
0504.03 (933050403)  00000,2010
0504.04 (933050404)  00000,2735
0505.00 (933050500)  00000,2205
0506.01 (933050601)  00000,1285
0506.02 (933050602)  00000,2320
