CTname,TotFam
0287.07 (933028707)  00001,3370
0290.02 (933029002)  00000,1505
0290.03 (933029003)  00000,1750
0290.04 (933029004)  00001,1995
0290.05 (933029005)  00001,970
0291.01 (933029101)  00000,1765
0291.02 (933029102)  00000,2280
0292.01 (933029201)  00000,1660
0292.02 (933029202)  00000,2500
0400.01 (933040001)  00001,2655
0400.02 (933040002)  00001,995
0401.01 (933040101)  00001,750
0401.02 (933040102)  00001,1870
0402.01 (933040201)  00000,2170
0402.02 (933040202)  00000,1400
0403.01 (933040301)  00000,1525
0403.03 (933040303)  00000,1580
0403.04 (933040304)  00001,1350
0403.05 (933040305)  00001,1245
0404.00 (933040400)  00000,2310
0410.02 (933041002)  00000,1705
0410.03 (933041003)  00001,2220
0410.04 (933041004)  01001,270
0500.00 (933050000)  00000,1835
0501.01 (933050101)  00011,755
0501.02 (933050102)  00000,1610
0501.03 (933050103)  00000,890
0502.01 (933050201)  00001,695
0502.02 (933050202)  00000,1205
0502.03 (933050203)  00000,1445
0502.04 (933050204)  00001,2385
0502.05 (933050205)  00010,695
0503.01 (933050301)  00001,700
0503.03 (933050303)  00001,2005
0503.04 (933050304)  00001,1460
0503.05 (933050305)  00001,2160
0504.01 (933050401)  00001,2105
0504.02 (933050402)  00000,2350
0504.03 (933050403)  00000,1785
0504.04 (933050404)  00000,2320
0505.00 (933050500)  00000,1815
0506.01 (933050601)  00000,1090
0506.02 (933050602)  00000,1885
